#"Produktgruppe";"Name";"Nummer";"Barcode";"VK-Preis";"EK-Preis";"Variabel";"Lieferant";"Herkunft"
"Alkoholfreie Getränke 15 Cent Pfand";"Apfel-Mango-Saft";"0613114039-0";;2.95;2;"Nein";"unbekannt";"Deutschland, Philippinen"
"Grüner Tee";"China Bio Jasmintee lose 100g";8900942;;3.99;2.99;"Nein";"Gepa";"China"
"Alkoholfreie Getränke 8 Cent Pfand";"Costa Rica Cola";"Cr1-18-033";;0.9;0.7;"Nein";"El Puente";"Costa Rica"
"Grüner Tee";"Grüner Ceylon Tee Teebeutel";"VA-0996-E";;2;1.5;"Nein";"ethiquable";"Sri Lanka"
"Kekse";"Mascobado Lemon Herzen";8911917;;2;1.5;"Nein";"Gepa";"Philippinen"
"Kräutertee";"orange tree lose 60g";"b03-12-401";;2.75;2;"Nein";"El Puente";"International"
"Gewürze und Kräuter";"Pfeffer schwarz gemahlen 40g";"sl1-15-504";;1.8;1.5;"Nein";"El Puente";"Sri Lanka"
"Gewürze und Kräuter";"Schwarzer Pfeffer ganz Mühle";"s13-15-600";;4;3;"Nein";"El Puente";"Sri Lanka"
"Trockenfrüchte";"Bio Cashewmix";3210816;4013320129906;2;1.75;"Nein";"Gepa";"Honduras"
